vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
0,truck,2.0,181.0,179.0,,1415.482,0.0,0.0,179.0,7.298,,,0.0,1.0,,True,completed
6,car,20.0,184.0,164.0,,1704.674,0.0,0.0,164.0,8.317,,,0.0,1.0,,True,completed
4,car,12.0,186.0,174.0,,1462.04,5.0,18.0,156.0,31.004,,,0.1034,0.8966,,True,completed
12,car,74.0,187.0,113.0,,877.433,3.0,3.0,110.0,15.108,,,0.0265,0.9735,,True,completed
2,car,8.0,195.0,187.0,,1441.911,27.0,36.0,151.0,55.773,,,0.1925,0.8075,,True,completed
14,car,82.0,198.0,116.0,,1145.672,0.0,0.0,116.0,4.424,,,0.0,1.0,,True,completed
5,truck,20.0,206.0,186.0,,1168.362,0.0,34.0,152.0,44.741,,,0.1828,0.8172,,True,completed
21,car,117.0,211.0,94.0,,859.526,0.0,0.0,94.0,3.707,,,0.0,1.0,,True,completed
11,car,70.0,216.0,146.0,,867.55,54.0,54.0,92.0,66.222,,,0.3699,0.6301,,True,completed
7,car,21.0,222.0,201.0,,1461.578,39.0,49.0,152.0,68.118,,,0.2438,0.7562,,True,completed
1,car,5.0,226.0,221.0,,1739.818,0.0,47.0,174.0,62.683,,,0.2127,0.7873,,True,completed
3,car,9.0,234.0,225.0,,1735.462,6.0,15.0,210.0,37.657,,,0.0667,0.9333,,True,completed
36,car,181.0,235.0,54.0,,575.491,0.0,0.0,54.0,1.205,,,0.0,1.0,,True,completed
19,car,103.0,240.0,137.0,,1470.919,0.0,0.0,137.0,3.427,,,0.0,1.0,,True,completed
24,car,129.0,242.0,113.0,,869.765,14.0,14.0,99.0,21.703,,,0.1239,0.8761,,True,completed
22,car,123.0,246.0,123.0,,845.762,27.0,27.0,96.0,37.254,,,0.2195,0.7805,,True,completed
41,car,192.0,256.0,64.0,,564.547,1.0,1.0,63.0,9.741,,,0.0156,0.9844,,True,completed
16,car,98.0,270.0,172.0,,1428.757,4.0,20.0,152.0,41.415,,,0.1163,0.8837,,True,completed
39,car,191.0,279.0,88.0,,824.34,0.0,0.0,88.0,5.218,,,0.0,1.0,,True,completed
13,car,75.0,282.0,207.0,,1446.082,7.0,55.0,152.0,67.173,,,0.2657,0.7343,,True,completed
35,truck,175.0,289.0,114.0,,855.661,0.0,0.0,114.0,10.28,,,0.0,1.0,,True,completed
17,car,100.0,290.0,190.0,,1447.587,20.0,21.0,169.0,39.334,,,0.1105,0.8895,,True,completed
8,car,43.0,294.0,251.0,,2028.032,0.0,17.0,234.0,41.443,,,0.0677,0.9323,,True,completed
33,car,171.0,326.0,155.0,,1166.596,6.0,29.0,126.0,48.836,,,0.1871,0.8129,,True,completed
28,car,153.0,328.0,175.0,,1456.512,1.0,9.0,166.0,42.125,,,0.0514,0.9486,,True,completed
15,truck,85.0,331.0,246.0,,1735.35,0.0,14.0,232.0,36.046,,,0.0569,0.9431,,True,completed
37,car,182.0,332.0,150.0,,1160.296,4.0,25.0,125.0,44.561,,,0.1667,0.8333,,True,completed
47,car,224.0,335.0,111.0,,875.157,20.0,20.0,91.0,31.235,,,0.1802,0.8198,,True,completed
31,car,165.0,338.0,173.0,,1174.396,2.0,30.0,143.0,66.303,,,0.1734,0.8266,,True,completed
26,car,144.0,346.0,202.0,,1441.567,1.0,37.0,165.0,61.272,,,0.1832,0.8168,,True,completed
38,car,183.0,347.0,164.0,,1692.227,0.0,0.0,164.0,9.312,,,0.0,1.0,,True,completed
34,car,173.0,348.0,175.0,,1428.625,13.0,15.0,160.0,29.145,,,0.0857,0.9143,,True,completed
18,car,101.0,352.0,251.0,,1751.047,25.0,68.0,183.0,91.574,,,0.2709,0.7291,,True,completed
27,car,153.0,352.0,199.0,,1441.534,0.0,24.0,175.0,54.008,,,0.1206,0.8794,,True,completed
51,car,244.0,367.0,123.0,,1108.929,7.0,7.0,116.0,12.994,,,0.0569,0.9431,,True,completed
43,car,202.0,369.0,167.0,,1447.061,0.0,0.0,167.0,7.359,,,0.0,1.0,,True,completed
42,car,196.0,376.0,180.0,,1160.254,12.0,45.0,135.0,66.961,,,0.25,0.75,,True,completed
29,car,158.0,385.0,227.0,,1157.273,30.0,101.0,126.0,121.844,,,0.4449,0.5551,,True,completed
25,truck,138.0,387.0,249.0,,1452.785,0.0,55.0,194.0,73.416,,,0.2209,0.7791,,True,completed
78,car,343.0,397.0,54.0,,554.134,0.0,0.0,54.0,2.723,,,0.0,1.0,,True,completed
9,car,54.0,399.0,345.0,,1179.457,62.0,200.0,145.0,218.35,,,0.5797,0.4203,,True,completed
32,car,170.0,401.0,231.0,,1778.144,6.0,9.0,222.0,34.976,,,0.039,0.961,,True,completed
49,car,240.0,405.0,165.0,,1721.74,0.0,0.0,165.0,7.911,,,0.0,1.0,,True,completed
59,car,276.0,416.0,140.0,,876.071,30.0,33.0,107.0,57.883,,,0.2357,0.7643,,True,completed
52,car,250.0,418.0,168.0,,1165.486,23.0,23.0,145.0,51.268,,,0.1369,0.8631,,True,completed
72,car,328.0,423.0,95.0,,838.802,5.0,5.0,90.0,18.127,,,0.0526,0.9474,,True,completed
57,car,269.0,424.0,155.0,,1177.38,7.0,7.0,148.0,32.413,,,0.0452,0.9548,,True,completed
20,truck,106.0,426.0,320.0,,1732.353,6.0,86.0,234.0,103.105,,,0.2687,0.7312,,True,completed
71,car,321.0,431.0,110.0,,1137.858,0.0,0.0,110.0,5.704,,,0.0,1.0,,True,completed
53,car,255.0,434.0,179.0,,1754.652,5.0,5.0,174.0,19.593,,,0.0279,0.9721,,True,completed
46,car,223.0,439.0,216.0,,1463.206,15.0,29.0,187.0,58.92,,,0.1343,0.8657,,True,completed
10,truck,59.0,440.0,381.0,,1775.608,21.0,140.0,241.0,166.842,,,0.3675,0.6325,,True,completed
23,car,124.0,441.0,317.0,,2033.336,1.0,75.0,242.0,132.077,,,0.2366,0.7634,,True,completed
45,truck,218.0,443.0,225.0,,1162.453,58.0,73.0,152.0,84.388,,,0.3244,0.6756,,True,completed
67,car,312.0,452.0,140.0,,1135.167,0.0,7.0,133.0,27.688,,,0.05,0.95,,True,completed
58,car,273.0,465.0,192.0,,1159.664,26.0,59.0,133.0,77.252,,,0.3073,0.6927,,True,completed
69,car,319.0,470.0,151.0,,1411.416,0.0,7.0,144.0,13.76,,,0.0464,0.9536,,True,completed
63,car,301.0,475.0,174.0,,1729.503,0.0,2.0,172.0,16.415,,,0.0115,0.9885,,True,completed
86,car,370.0,475.0,105.0,,870.453,6.0,6.0,99.0,17.925,,,0.0571,0.9429,,True,completed
48,car,232.0,476.0,244.0,,1465.4,31.0,80.0,164.0,99.554,,,0.3279,0.6721,,True,completed
62,car,299.0,481.0,182.0,,1457.198,1.0,9.0,173.0,21.087,,,0.0495,0.9505,,True,completed
91,car,385.0,483.0,98.0,,856.942,0.0,0.0,98.0,19.1,,,0.0,1.0,,True,completed
76,car,340.0,484.0,144.0,,1175.344,20.0,20.0,124.0,37.218,,,0.1389,0.8611,,True,completed
40,truck,191.0,488.0,297.0,,2059.01,2.0,22.0,275.0,41.113,,,0.0741,0.9259,,True,completed
65,truck,305.0,489.0,184.0,,1156.78,20.0,28.0,156.0,34.847,,,0.1522,0.8478,,True,completed
56,car,268.0,491.0,223.0,,1753.658,4.0,34.0,189.0,54.24,,,0.1525,0.8475,,True,completed
66,car,309.0,495.0,186.0,,1737.727,0.0,3.0,183.0,18.258,,,0.0161,0.9839,,True,completed
98,car,408.0,517.0,109.0,,1137.072,0.0,0.0,109.0,4.646,,,0.0,1.0,,True,completed
44,car,212.0,525.0,313.0,,2066.754,46.0,96.0,217.0,125.617,,,0.3067,0.6933,,True,completed
64,car,302.0,525.0,223.0,,1458.261,29.0,56.0,167.0,80.85,,,0.2511,0.7489,,True,completed
54,car,260.0,526.0,266.0,,1760.812,35.0,48.0,218.0,106.335,,,0.1805,0.8195,,True,completed
109,car,444.0,531.0,87.0,,865.119,0.0,0.0,87.0,3.63,,,0.0,1.0,,True,completed
83,car,365.0,531.0,166.0,,1453.179,0.0,2.0,164.0,17.361,,,0.012,0.988,,True,completed
60,truck,277.0,532.0,255.0,,1749.836,14.0,16.0,239.0,43.734,,,0.0627,0.9373,,True,completed
30,truck,160.0,533.0,373.0,,2021.239,0.0,101.0,272.0,128.612,,,0.2708,0.7292,,True,completed
68,car,318.0,533.0,215.0,,1435.889,38.0,64.0,151.0,74.725,,,0.2977,0.7023,,True,completed
101,car,417.0,539.0,122.0,,861.284,21.0,21.0,101.0,37.866,,,0.1721,0.8279,,True,completed
70,truck,320.0,545.0,225.0,,1460.448,11.0,25.0,200.0,48.676,,,0.1111,0.8889,,True,completed
94,car,398.0,550.0,152.0,,1165.925,21.0,21.0,131.0,32.363,,,0.1382,0.8618,,True,completed
104,car,429.0,553.0,124.0,,1163.901,5.0,5.0,119.0,17.969,,,0.0403,0.9597,,True,completed
73,car,334.0,553.0,219.0,,1474.335,5.0,63.0,156.0,82.762,,,0.2877,0.7123,,True,completed
89,car,382.0,558.0,176.0,,1175.078,21.0,27.0,149.0,53.657,,,0.1534,0.8466,,True,completed
81,car,359.0,559.0,200.0,,1753.307,12.0,12.0,188.0,40.75,,,0.06,0.94,,True,completed
117,car,471.0,563.0,92.0,,839.01,3.0,3.0,89.0,15.119,,,0.0326,0.9674,,True,completed
55,truck,262.0,563.0,301.0,,1749.614,16.0,65.0,236.0,89.962,,,0.2159,0.7841,,True,completed
84,car,367.0,563.0,196.0,,1458.561,15.0,29.0,167.0,63.713,,,0.148,0.852,,True,completed
79,car,344.0,565.0,221.0,,1450.287,27.0,40.0,181.0,66.008,,,0.181,0.819,,True,completed
106,car,436.0,579.0,143.0,,1467.053,0.0,0.0,143.0,6.964,,,0.0,1.0,,True,completed
50,truck,241.0,579.0,338.0,,1759.089,22.0,105.0,233.0,125.794,,,0.3107,0.6893,,True,completed
114,car,466.0,588.0,122.0,,1132.098,0.0,0.0,122.0,5.476,,,0.0,1.0,,True,completed
112,car,452.0,589.0,137.0,,1172.053,3.0,3.0,134.0,14.431,,,0.0219,0.9781,,True,completed
119,car,475.0,596.0,121.0,,1169.273,0.0,0.0,121.0,14.522,,,0.0,1.0,,True,completed
74,car,336.0,596.0,260.0,,2281.905,5.0,16.0,244.0,38.649,,,0.0615,0.9385,,True,completed
97,car,403.0,598.0,195.0,,1465.339,8.0,8.0,187.0,61.721,,,0.041,0.959,,True,completed
146,car,547.0,600.0,53.0,,564.962,0.0,0.0,53.0,1.153,,,0.0,1.0,,True,completed
124,car,492.0,601.0,109.0,,1145.197,0.0,0.0,109.0,4.319,,,0.0,1.0,,True,completed
90,truck,384.0,602.0,218.0,,1464.091,13.0,23.0,195.0,41.227,,,0.1055,0.8945,,True,completed
118,car,473.0,607.0,134.0,,1138.453,0.0,2.0,132.0,11.928,,,0.0149,0.9851,,True,completed
107,car,437.0,609.0,172.0,,1433.739,4.0,5.0,167.0,25.596,,,0.0291,0.9709,,True,completed
128,car,502.0,609.0,107.0,,878.627,8.0,8.0,99.0,18.787,,,0.0748,0.9252,,True,completed
133,car,524.0,609.0,85.0,,871.587,0.0,0.0,85.0,5.556,,,0.0,1.0,,True,completed
85,truck,369.0,609.0,240.0,,1721.625,0.0,18.0,222.0,31.806,,,0.075,0.925,,True,completed
82,car,365.0,610.0,245.0,,2062.887,2.0,11.0,234.0,43.221,,,0.0449,0.9551,,True,completed
77,car,341.0,624.0,283.0,,1178.042,17.0,121.0,162.0,152.045,,,0.4276,0.5724,,True,completed
99,car,410.0,624.0,214.0,,1183.104,28.0,51.0,163.0,68.568,,,0.2383,0.7617,,True,completed
92,car,387.0,626.0,239.0,,1426.57,64.0,92.0,147.0,98.69,,,0.3849,0.6151,,True,completed
102,car,417.0,627.0,210.0,,1707.243,0.0,25.0,185.0,41.618,,,0.119,0.881,,True,completed
96,car,401.0,629.0,228.0,,1749.122,31.0,39.0,189.0,59.453,,,0.1711,0.8289,,True,completed
88,car,380.0,631.0,251.0,,1720.029,2.0,62.0,189.0,94.093,,,0.247,0.753,,True,completed
110,truck,444.0,638.0,194.0,,1433.956,8.0,8.0,186.0,11.149,,,0.0412,0.9588,,True,completed
144,car,544.0,647.0,103.0,,857.212,9.0,10.0,93.0,24.342,,,0.0971,0.9029,,True,completed
61,car,279.0,647.0,368.0,,2028.757,0.0,130.0,238.0,156.596,,,0.3533,0.6467,,True,completed
87,car,375.0,655.0,280.0,,1474.11,17.0,108.0,172.0,146.329,,,0.3857,0.6143,,True,completed
126,car,498.0,656.0,158.0,,1168.317,7.0,14.0,144.0,44.569,,,0.0886,0.9114,,True,completed
108,car,440.0,659.0,219.0,,1411.228,9.0,60.0,159.0,71.712,,,0.274,0.726,,True,completed
129,car,509.0,662.0,153.0,,1171.035,14.0,28.0,125.0,46.606,,,0.183,0.817,,True,completed
132,car,523.0,662.0,139.0,,1146.177,0.0,5.0,134.0,19.566,,,0.036,0.964,,True,completed
95,truck,400.0,666.0,266.0,,1460.052,0.0,51.0,215.0,82.184,,,0.1917,0.8083,,True,completed
141,car,540.0,669.0,129.0,,1157.594,0.0,0.0,129.0,14.54,,,0.0,1.0,,True,completed
152,car,576.0,675.0,99.0,,872.994,3.0,3.0,96.0,19.43,,,0.0303,0.9697,,True,completed
143,car,543.0,688.0,145.0,,1138.289,13.0,29.0,116.0,41.069,,,0.2,0.8,,True,completed
139,car,540.0,690.0,150.0,,872.838,22.0,39.0,111.0,61.208,,,0.26,0.74,,True,completed
115,truck,469.0,692.0,223.0,,1160.032,9.0,35.0,188.0,75.378,,,0.157,0.843,,True,completed
